"","Electors","Candidate","Color"
"182",343,"Democrat","#0000FF"
"183",439,"Democrat","#0000FF"
"184",328,"Democrat","#0000FF"
"185",302,"Democrat","#0000FF"
"186",178,"Republican","#FF0000"
"187",245,"Republican","#FF0000"
"188",319,"Democrat","#0000FF"
"189",264,"Republican","#FF0000"
"190",276,"Democrat","#0000FF"
"191",282,"Democrat","#0000FF"
"192",333,"Democrat","#0000FF"
"193",251,"Republican","#FF0000"
"194",263,"Republican","#FF0000"
"195",266,"Republican","#FF0000"
"196",287,"Democrat","#0000FF"
"197",250,"Republican","#FF0000"
"198",377,"Democrat","#0000FF"
"199",369,"Democrat","#0000FF"
"200",248,"Republican","#FF0000"
"201",212,"Republican","#FF0000"
"202",292,"Democrat","#0000FF"
"203",395,"Democrat","#0000FF"
"204",249,"Republican","#FF0000"
"205",237,"Republican","#FF0000"
"206",257,"Republican","#FF0000"
"207",224,"Republican","#FF0000"
"208",389,"Democrat","#0000FF"
"209",377,"Democrat","#0000FF"
"210",333,"Democrat","#0000FF"
"211",241,"Republican","#FF0000"
"212",316,"Democrat","#0000FF"
"213",298,"Democrat","#0000FF"
"214",319,"Democrat","#0000FF"
"215",303,"Democrat","#0000FF"
"216",340,"Democrat","#0000FF"
"217",425,"Democrat","#0000FF"
"218",292,"Democrat","#0000FF"
"219",399,"Democrat","#0000FF"
"220",222,"Republican","#FF0000"
"221",362,"Democrat","#0000FF"
"222",192,"Republican","#FF0000"
"223",210,"Republican","#FF0000"
"224",292,"Democrat","#0000FF"
"225",271,"Democrat","#0000FF"
"226",293,"Democrat","#0000FF"
"227",360,"Democrat","#0000FF"
"228",268,"Republican","#FF0000"
"229",142,"Republican","#FF0000"
"230",233,"Republican","#FF0000"
"231",449,"Democrat","#0000FF"
"232",175,"Republican","#FF0000"
"233",261,"Republican","#FF0000"
"234",284,"Democrat","#0000FF"
"235",232,"Republican","#FF0000"
"236",184,"Republican","#FF0000"
"237",247,"Republican","#FF0000"
"238",294,"Democrat","#0000FF"
"239",360,"Democrat","#0000FF"
"240",263,"Republican","#FF0000"
"241",475,"Democrat","#0000FF"
"242",260,"Republican","#FF0000"
"243",353,"Democrat","#0000FF"
"244",282,"Democrat","#0000FF"
"245",319,"Democrat","#0000FF"
"246",257,"Republican","#FF0000"
"247",365,"Democrat","#0000FF"
"248",150,"Republican","#FF0000"
"249",334,"Democrat","#0000FF"
"250",308,"Democrat","#0000FF"
"251",273,"Democrat","#0000FF"
"252",343,"Democrat","#0000FF"
"253",350,"Democrat","#0000FF"
"254",203,"Republican","#FF0000"
"255",345,"Democrat","#0000FF"
"256",319,"Democrat","#0000FF"
"257",294,"Democrat","#0000FF"
"258",331,"Democrat","#0000FF"
"259",336,"Democrat","#0000FF"
"260",398,"Democrat","#0000FF"
"261",241,"Republican","#FF0000"
"262",237,"Republican","#FF0000"
"263",287,"Democrat","#0000FF"
"264",212,"Republican","#FF0000"
"265",324,"Democrat","#0000FF"
"266",373,"Democrat","#0000FF"
"267",207,"Republican","#FF0000"
"268",329,"Democrat","#0000FF"
"269",414,"Democrat","#0000FF"
"270",389,"Democrat","#0000FF"
"271",233,"Republican","#FF0000"
"272",359,"Democrat","#0000FF"
"273",331,"Democrat","#0000FF"
"274",330,"Democrat","#0000FF"
"275",323,"Democrat","#0000FF"
"276",198,"Republican","#FF0000"
"277",322,"Democrat","#0000FF"
"278",349,"Democrat","#0000FF"
"279",188,"Republican","#FF0000"
"280",418,"Democrat","#0000FF"
"281",247,"Republican","#FF0000"
"282",259,"Republican","#FF0000"
"283",359,"Democrat","#0000FF"
"284",258,"Republican","#FF0000"
"285",338,"Democrat","#0000FF"
"286",349,"Democrat","#0000FF"
"287",235,"Republican","#FF0000"
"288",322,"Democrat","#0000FF"
"289",243,"Republican","#FF0000"
"290",297,"Democrat","#0000FF"
"291",330,"Democrat","#0000FF"
"292",286,"Democrat","#0000FF"
"293",233,"Republican","#FF0000"
"294",330,"Democrat","#0000FF"
"295",329,"Democrat","#0000FF"
"296",344,"Democrat","#0000FF"
"297",333,"Democrat","#0000FF"
"298",292,"Democrat","#0000FF"
"299",248,"Republican","#FF0000"
"300",319,"Democrat","#0000FF"
"301",292,"Democrat","#0000FF"
"302",243,"Republican","#FF0000"
"303",132,"Republican","#FF0000"
"304",292,"Democrat","#0000FF"
"305",382,"Democrat","#0000FF"
"306",356,"Democrat","#0000FF"
"307",322,"Democrat","#0000FF"
"308",274,"Democrat","#0000FF"
"309",288,"Democrat","#0000FF"
"310",314,"Democrat","#0000FF"
"311",248,"Republican","#FF0000"
"312",235,"Republican","#FF0000"
"313",159,"Republican","#FF0000"
"314",281,"Democrat","#0000FF"
"315",238,"Republican","#FF0000"
"316",349,"Democrat","#0000FF"
"317",329,"Democrat","#0000FF"
"318",248,"Republican","#FF0000"
"319",267,"Republican","#FF0000"
"320",284,"Democrat","#0000FF"
"321",319,"Democrat","#0000FF"
"322",206,"Republican","#FF0000"
"323",252,"Republican","#FF0000"
"324",212,"Republican","#FF0000"
"325",421,"Democrat","#0000FF"
"326",198,"Republican","#FF0000"
"327",352,"Democrat","#0000FF"
"328",355,"Democrat","#0000FF"
"329",343,"Democrat","#0000FF"
"330",253,"Republican","#FF0000"
"331",271,"Democrat","#0000FF"
"332",282,"Democrat","#0000FF"
"333",298,"Democrat","#0000FF"
"334",284,"Democrat","#0000FF"
"335",287,"Democrat","#0000FF"
"336",287,"Democrat","#0000FF"
"337",251,"Republican","#FF0000"
"338",226,"Republican","#FF0000"
"339",301,"Democrat","#0000FF"
"340",353,"Democrat","#0000FF"
"341",345,"Democrat","#0000FF"
"342",319,"Democrat","#0000FF"
"343",247,"Republican","#FF0000"
"344",441,"Democrat","#0000FF"
"345",344,"Democrat","#0000FF"
"346",251,"Republican","#FF0000"
"347",286,"Democrat","#0000FF"
"348",242,"Republican","#FF0000"
"349",272,"Democrat","#0000FF"
"350",248,"Republican","#FF0000"
"351",239,"Republican","#FF0000"
"352",198,"Republican","#FF0000"
"353",208,"Republican","#FF0000"
"354",370,"Democrat","#0000FF"
"355",357,"Democrat","#0000FF"
"356",306,"Democrat","#0000FF"
"357",333,"Democrat","#0000FF"
"358",481,"Democrat","#0000FF"
"359",218,"Republican","#FF0000"
"360",321,"Democrat","#0000FF"
"361",273,"Democrat","#0000FF"
"362",355,"Democrat","#0000FF"
"363",351,"Democrat","#0000FF"
"364",262,"Republican","#FF0000"
"365",254,"Republican","#FF0000"
"366",389,"Democrat","#0000FF"
"367",309,"Democrat","#0000FF"
"368",278,"Democrat","#0000FF"
"369",268,"Republican","#FF0000"
"370",242,"Republican","#FF0000"
"371",368,"Democrat","#0000FF"
"372",333,"Democrat","#0000FF"
"373",292,"Democrat","#0000FF"
